child	parent
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000008
0000002	0000003
0000002	0000004
0000002	0000005
0000002	0000007
0000002	0000009
0000002	0000013
0000002	0000021
0000003	0000004
0000003	0000006
0000003	0000009
0000003	0000015
0000003	0000016
0000004	0000005
0000004	0000006
0000004	0000007
0000004	0000020
0000004	0000023
0000005	0000006
0000005	0000007
0000005	0000010
0000005	0000018
0000006	0000013
0000006	0000014
0000007	0000012
0000007	0000013
0000007	0000017
0000007	0000022
0000009	0000015
0000009	0000016
0000009	0000017
0000010	0000011
0000010	0000012
0000010	0000022
0000010	0000025
0000011	0000016
0000011	0000017
0000011	0000021
0000012	0000022
0000013	0000022
0000013	0000025
0000014	0000022
0000015	0000017
0000016	0000019
0000016	0000025
0000019	0000022
0000021	0000024
0000024	0000025
