child	parent
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000006
0000001	0000012
0000002	0000003
0000002	0000005
0000002	0000006
0000002	0000009
0000002	0000010
0000002	0000025
0000003	0000006
0000003	0000008
0000003	0000012
0000003	0000023
0000004	0000006
0000004	0000014
0000004	0000018
0000004	0000024
0000005	0000006
0000005	0000011
0000005	0000014
0000005	0000016
0000006	0000007
0000006	0000011
0000006	0000015
0000006	0000016
0000006	0000022
0000007	0000010
0000007	0000012
0000007	0000016
0000007	0000018
0000007	0000022
0000008	0000017
0000009	0000018
0000010	0000013
0000010	0000020
0000011	0000012
0000011	0000019
0000012	0000021
0000015	0000022
0000017	0000018
0000020	0000022
0000021	0000022
