child	parent
0000001	0000002
0000001	0000005
0000001	0000007
0000001	0000008
0000001	0000010
0000001	0000011
0000001	0000013
0000001	0000021
0000002	0000003
0000002	0000007
0000002	0000009
0000002	0000010
0000002	0000011
0000002	0000012
0000003	0000004
0000003	0000007
0000003	0000008
0000003	0000010
0000003	0000011
0000003	0000014
0000003	0000017
0000004	0000006
0000004	0000007
0000004	0000010
0000004	0000011
0000004	0000018
0000004	0000023
0000005	0000007
0000005	0000010
0000005	0000011
0000006	0000007
0000006	0000010
0000006	0000015
0000006	0000018
0000006	0000023
0000007	0000010
0000007	0000023
0000008	0000010
0000008	0000011
0000008	0000016
0000008	0000017
0000008	0000018
0000008	0000020
0000008	0000023
0000009	0000010
0000009	0000011
0000009	0000018
0000009	0000019
0000009	0000024
0000010	0000019
0000011	0000012
0000011	0000013
0000011	0000021
0000012	0000016
0000012	0000023
0000013	0000021
0000014	0000023
0000015	0000018
0000015	0000019
0000016	0000017
0000016	0000022
0000019	0000023
0000020	0000021
0000020	0000023
0000021	0000025
