source	target
0000001	0000002
0000001	0000003
0000001	0000005
0000001	0000007
0000001	0000009
0000001	0000014
0000002	0000003
0000002	0000005
0000002	0000008
0000002	0000012
0000002	0000013
0000002	0000021
0000002	0000024
0000003	0000004
0000003	0000005
0000003	0000010
0000003	0000012
0000003	0000020
0000004	0000006
0000004	0000008
0000004	0000013
0000004	0000014
0000004	0000019
0000004	0000025
0000005	0000009
0000005	0000010
0000005	0000011
0000005	0000015
0000005	0000017
0000006	0000008
0000006	0000016
0000006	0000017
0000006	0000020
0000007	0000021
0000008	0000024
0000010	0000012
0000010	0000022
0000011	0000013
0000012	0000015
0000012	0000019
0000012	0000023
0000013	0000015
0000013	0000018
0000016	0000021
0000018	0000022
0000018	0000023
0000019	0000024
0000024	0000025
