source	target
0000001	0000002
0000001	0000003
0000001	0000006
0000001	0000011
0000001	0000017
0000001	0000018
0000001	0000024
0000001	0000025
0000002	0000004
0000002	0000005
0000002	0000006
0000002	0000012
0000002	0000015
0000003	0000007
0000003	0000021
0000004	0000024
0000005	0000008
0000005	0000013
0000005	0000017
0000006	0000009
0000006	0000014
0000006	0000019
0000007	0000019
0000008	0000009
0000008	0000024
0000009	0000010
0000010	0000013
0000010	0000016
0000011	0000012
0000012	0000022
0000016	0000021
0000016	0000023
0000019	0000020
0000021	0000025
