source	target
0000001	0000002
0000001	0000003
0000001	0000005
0000001	0000007
0000001	0000009
0000001	0000013
0000001	0000014
0000001	0000016
0000001	0000020
0000002	0000003
0000002	0000004
0000002	0000007
0000002	0000008
0000002	0000013
0000002	0000014
0000002	0000016
0000002	0000017
0000002	0000020
0000003	0000007
0000003	0000013
0000003	0000020
0000003	0000025
0000004	0000007
0000004	0000011
0000004	0000013
0000004	0000014
0000004	0000015
0000004	0000019
0000004	0000020
0000004	0000022
0000004	0000024
0000005	0000006
0000005	0000007
0000005	0000013
0000005	0000014
0000005	0000015
0000005	0000020
0000005	0000021
0000006	0000007
0000006	0000013
0000006	0000014
0000006	0000020
0000006	0000023
0000007	0000013
0000007	0000020
0000008	0000013
0000008	0000020
0000009	0000010
0000009	0000013
0000009	0000014
0000009	0000016
0000009	0000020
0000010	0000011
0000010	0000012
0000010	0000013
0000010	0000014
0000010	0000016
0000010	0000020
0000011	0000013
0000011	0000017
0000011	0000020
0000011	0000024
0000012	0000013
0000012	0000014
0000012	0000016
0000012	0000020
0000013	0000014
0000013	0000018
0000013	0000020
0000014	0000016
0000014	0000017
0000014	0000020
0000015	0000017
0000015	0000020
0000015	0000023
0000016	0000020
0000016	0000025
0000017	0000018
0000017	0000020
0000018	0000020
0000018	0000021
0000018	0000024
0000019	0000020
0000019	0000024
0000021	0000024
0000022	0000023
0000022	0000025
