source	target
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000006
0000001	0000007
0000001	0000011
0000001	0000012
0000001	0000015
0000001	0000021
0000001	0000024
0000002	0000006
0000002	0000009
0000002	0000010
0000002	0000014
0000002	0000015
0000002	0000021
0000003	0000006
0000003	0000008
0000003	0000010
0000003	0000015
0000003	0000018
0000003	0000019
0000003	0000021
0000003	0000023
0000003	0000024
0000004	0000005
0000004	0000006
0000004	0000007
0000004	0000015
0000004	0000018
0000004	0000021
0000004	0000022
0000004	0000024
0000005	0000006
0000005	0000007
0000005	0000010
0000005	0000013
0000005	0000021
0000005	0000024
0000006	0000007
0000006	0000018
0000006	0000021
0000006	0000024
0000007	0000009
0000007	0000011
0000007	0000013
0000007	0000018
0000007	0000021
0000008	0000021
0000008	0000024
0000008	0000025
0000009	0000015
0000009	0000016
0000009	0000020
0000009	0000021
0000009	0000024
0000010	0000017
0000010	0000018
0000010	0000021
0000011	0000021
0000012	0000021
0000012	0000024
0000013	0000015
0000013	0000017
0000013	0000021
0000013	0000022
0000013	0000024
0000014	0000015
0000014	0000021
0000014	0000024
0000015	0000018
0000015	0000021
0000015	0000024
0000016	0000021
0000016	0000024
0000017	0000021
0000018	0000021
0000019	0000021
0000020	0000021
0000020	0000023
0000020	0000025
0000022	0000023
0000022	0000024
