source	target
0000001	0000002
0000001	0000003
0000001	0000004
0000001	0000005
0000001	0000018
0000001	0000022
0000001	0000026
0000001	0000038
0000001	0000058
0000002	0000003
0000002	0000004
0000002	0000005
0000002	0000013
0000002	0000015
0000002	0000017
0000002	0000026
0000002	0000042
0000002	0000045
0000002	0000046
0000002	0000057
0000002	0000062
0000002	0000071
0000002	0000087
0000002	0000088
0000003	0000004
0000003	0000006
0000003	0000008
0000003	0000011
0000003	0000013
0000003	0000016
0000003	0000019
0000003	0000020
0000003	0000021
0000003	0000023
0000003	0000031
0000003	0000035
0000003	0000053
0000003	0000069
0000003	0000090
0000004	0000007
0000004	0000011
0000004	0000013
0000004	0000016
0000004	0000036
0000004	0000070
0000004	0000077
0000004	0000084
0000005	0000006
0000005	0000009
0000005	0000011
0000005	0000023
0000005	0000027
0000005	0000038
0000005	0000040
0000005	0000055
0000005	0000066
0000006	0000007
0000006	0000008
0000006	0000009
0000006	0000010
0000006	0000011
0000006	0000025
0000006	0000037
0000006	0000053
0000006	0000059
0000007	0000011
0000007	0000017
0000007	0000028
0000007	0000037
0000007	0000038
0000007	0000042
0000007	0000060
0000007	0000073
0000008	0000010
0000008	0000012
0000008	0000014
0000008	0000020
0000008	0000032
0000008	0000072
0000008	0000073
0000008	0000074
0000008	0000077
0000009	0000011
0000009	0000012
0000009	0000017
0000009	0000019
0000009	0000038
0000009	0000041
0000009	0000075
0000010	0000011
0000010	0000014
0000010	0000028
0000010	0000038
0000010	0000042
0000010	0000045
0000010	0000056
0000010	0000094
0000011	0000018
0000011	0000024
0000011	0000025
0000011	0000063
0000011	0000068
0000012	0000014
0000012	0000028
0000012	0000030
0000012	0000038
0000012	0000085
0000013	0000019
0000013	0000020
0000013	0000041
0000014	0000025
0000014	0000031
0000014	0000044
0000014	0000063
0000014	0000065
0000014	0000075
0000014	0000091
0000015	0000017
0000015	0000018
0000015	0000032
0000015	0000041
0000015	0000086
0000016	0000018
0000016	0000019
0000016	0000022
0000016	0000028
0000016	0000029
0000016	0000038
0000016	0000039
0000016	0000054
0000016	0000067
0000017	0000018
0000017	0000020
0000017	0000021
0000018	0000023
0000018	0000079
0000019	0000024
0000019	0000025
0000019	0000032
0000019	0000036
0000019	0000046
0000019	0000069
0000019	0000077
0000019	0000087
0000020	0000034
0000020	0000047
0000020	0000069
0000021	0000045
0000021	0000094
0000021	0000096
0000022	0000044
0000022	0000051
0000022	0000059
0000023	0000025
0000023	0000032
0000023	0000035
0000023	0000079
0000024	0000037
0000024	0000054
0000024	0000070
0000024	0000089
0000025	0000026
0000025	0000037
0000025	0000041
0000025	0000043
0000025	0000060
0000025	0000075
0000026	0000027
0000026	0000039
0000026	0000095
0000027	0000049
0000027	0000068
0000027	0000081
0000028	0000035
0000028	0000040
0000028	0000046
0000028	0000057
0000028	0000062
0000029	0000053
0000029	0000054
0000029	0000056
0000029	0000065
0000030	0000032
0000030	0000041
0000030	0000052
0000030	0000082
0000031	0000033
0000031	0000047
0000031	0000070
0000032	0000035
0000032	0000039
0000033	0000043
0000033	0000083
0000033	0000084
0000034	0000038
0000034	0000045
0000034	0000046
0000034	0000047
0000034	0000049
0000034	0000056
0000034	0000076
0000034	0000077
0000034	0000079
0000035	0000060
0000035	0000064
0000036	0000039
0000036	0000043
0000036	0000073
0000037	0000082
0000038	0000043
0000038	0000049
0000038	0000077
0000038	0000100
0000039	0000042
0000039	0000065
0000039	0000071
0000039	0000077
0000039	0000093
0000040	0000041
0000040	0000050
0000040	0000051
0000041	0000048
0000041	0000061
0000041	0000075
0000041	0000092
0000041	0000099
0000042	0000047
0000042	0000069
0000042	0000092
0000044	0000064
0000044	0000074
0000044	0000079
0000044	0000081
0000044	0000087
0000045	0000072
0000045	0000074
0000046	0000075
0000046	0000100
0000047	0000083
0000047	0000087
0000048	0000054
0000048	0000064
0000049	0000062
0000052	0000062
0000052	0000080
0000053	0000065
0000053	0000098
0000054	0000070
0000054	0000071
0000054	0000083
0000055	0000089
0000055	0000096
0000056	0000070
0000056	0000077
0000057	0000062
0000057	0000078
0000058	0000085
0000059	0000080
0000060	0000061
0000060	0000070
0000060	0000086
0000061	0000081
0000062	0000066
0000062	0000069
0000062	0000079
0000062	0000080
0000064	0000073
0000064	0000088
0000066	0000078
0000067	0000074
0000068	0000077
0000068	0000078
0000068	0000083
0000069	0000093
0000069	0000096
0000072	0000087
0000072	0000092
0000073	0000088
0000075	0000084
0000076	0000082
0000076	0000085
0000077	0000078
0000077	0000082
0000077	0000089
0000078	0000086
0000078	0000087
0000080	0000097
0000084	0000093
0000086	0000098
0000088	0000089
0000090	0000097
0000091	0000098
0000094	0000095
0000097	0000099
0000099	0000100
