source	target
0003913	0003904
0003913	0003914
0004611	0004612
0004611	0004613
0004611	0008964
0004793	0008732
0016830	0003913
0016830	0008686
0016830	0009034
0016830	0016831
0016830	0016832
0016830	0016833
0016830	0071771
0016831	0001760
0016831	0004014
0016831	0004058
0016831	0004068
0016831	0004163
0016831	0004351
0016831	0004398
0016831	0004425
0016831	0004492
0016831	0004586
0016831	0004590
0016831	0004609
0016831	0004611
0016831	0004633
0016831	0004638
0016831	0004737
0016831	0004782
0016831	0004837
0016831	0004853
0016831	0008488
0016831	0008683
0016831	0008694
0016831	0008792
0016831	0008836
0016831	0008923
0016831	0008948
0016831	0008949
0016831	0009028
0016831	0010298
0016831	0016984
0016831	0018803
0016831	0033982
0016831	0047433
0016831	0047434
0016831	0047605
0016831	0047613
0016831	0047688
0016831	0048040
0016831	0050080
0016831	0050177
0016831	0050545
0016831	0051997
0016832	0004139
0016832	0004150
0016832	0004332
0016832	0004793
0016832	0008117
0016832	0008672
0016832	0008674
0016832	0008675
0016832	0008700
0016832	0008738
0016832	0008994
0016832	0009025
0016832	0033984
0016832	0046593
0016832	0047440
0016832	0050179
0016832	0097023
0016833	0004049
0016833	0004419
0016833	0004451
0016833	0008696
0016833	0008700
0016833	0008701
0016833	0008747
0016833	0008813
0016833	0008935
0016833	0043904
0016833	0046421
0016833	0047443
0016833	0047529
0016833	0047777
0016833	0050083
